artifact_type,current_location,current_owner,name
Oggetto Magico Danneggiato (Ali di Celestiale),Cratere del punto di schianto della meteora,,Ali del Radioso Martirio
"Oggetto Magico Senziente (Amuleti, Caotico Buono)",,,Amuleto dell'Investigatore
Oggetto Magico Instabile (Anello),,,Anelli degli Elementi
Arma Magica (Balestra),,,Balestre della Vita e della Morte
Arma Magica (Bastone Ferrato),Dimensione della Materia,Un angelo guaritore al servizio del dio,Bastone della Misericordia
narrative_scenario,Cratere della meteora,Eneli,Bestia Sacra Eneli
Oggetto Magico (Binocolo),,,Binocolo della Preveggenza
Oggetto Magico (Bracciale),,,Bracciale dell'Oltredove
Oggetto Magico (Bracciale),,,Bracciale delle Molte Forme
Oggetto Magico Maledetto (Bracciale),Dimensione della Materia,,Bracciale Sulfureo
fischietto di fattura divina,conficcato nel terreno limaccioso dell'acquitrino su Neir,Chevya',Chevya' La Bestia
Oggetto Magico Maledetto (Collana),,,Collana del Distruttore
Oggetto Magico Maledetto (Collana),,,Collana del Mutaforma
Arma Magica (Guanto d'Arme),,,Cormaglio
Oggetto Magico Pericoloso (Cuore di Celestiale),,,Cuore Divino
Bracciale magico,Al polso del demone,Il Senza Memoria (demone),Demone X
Oggetto Magico (Flauto),,,Domatore di Bestie
Arma Maledetta (Ascia),,,Dozhdboli il Nero Flagello
Arma Magica (Lancia),,,Dustsceawung
Scudo (Egida del Rogo),Neir,,Egida del Rogo
Oggetto Magico Instabile (Elmo),,,Elmo del Fante Demoniaco
Oggetto Magico Senziente e Malfunzionante (Elmo),,,Elmo di Gwynplaine
Elmo del Fante Demoniaco,Cratere fumante nel luogo di impatto della meteora,Creatura orribile ricoperta di sangue,Fante Demoniaco
Oggetto Magico (Foglia),,,Foglia di Iliar
"Oggetto Magico Instabile (Scuro), Raro",,,Frullatore (danneggiato)
Arma Magica (Frusta),Città Senza Nome,"Possibile schiavista zeyd, karevi o sacerdote di Bakraag; oppure un sovrano xaan",Frusta Fiammeggiante
Oggetto Magico (Gemma),Città Torre di Meth,klorss,Gemma del Mana Perpetuo
"Oggetto Magico Danneggiato (Cristallo), Molto Raro",,,Infallibile Cristallo del Fato
Arma Magica Instabile,,,K'idusi Seyifi Mak'at'eli
"Arma Magica Malfunzionante e Senziente (Legale Buono, Spada Lunga), Leggendaria",,,Kanptazu
Arma Magica Senziente (Randello),Dimensione della Materia,,La Senza Peso
Oggetto Magico (Pietra Preziosa),Neir,,Lacrime Celesti
Arma Magica (Spada Lunga),Neir,,Lama del Sacro Ordine
Arma Magica Instabile (Lancia),,,Lancia Angelica
Oggetto Magico Danneggiato (Lanterna),,,Lanterna del Becchino
Oggetto Magico (Occhiali),,,Lenti dell'Archivista
Oggetto Magico Maledetto (Maschera),,,Malia dell'Infido Gatto
"Oggetto Magico Instabile (Mano Scheletrica), Leggendario",Neir,,Mano di Krea
Mantello Magico Maledetto,,,Mantello dei Venti
Oggetto Magico Maledetto (Mantello),,,Mantello dell'Inconsistenza
Gemma del mana perpetuo,Città Senza Nome,Matna (diavolo caduto),Matna e la Scatola
,,,Mercanti di Meteore
Arma Magica Senziente (Spada Lunga),,,Nindja
Oggetto Magico Maledetto (Occhio Demoniaco),,,Occhio del Demone
demon_entity,luogo_di_impatto_della_meteora,Seraphina,Oppressione Demoniaca
Oggetto Magico (Orecchini),,,Orecchini della Selva
Oggetto Magico (Disco Metallico),,,Osservatore Celeste
Arma Magica (Pistola),,,Prima Lucis Advehens
Costrutto Senziente e Malfunzionante,Tempio colonnato (sepolto sotto i detriti),,Psy Bot
descrizione_narrativa,cratere dell'impatto della meteora,Putto,Putto
Pergamena Misteriosa,"Sito meteoritico su Neir, dove avviene il duello eterno tra Kethù e Nàmhaid",Nessuno (in possesso del vincitore della battaglia tra Kethù e Nàmhaid),Sfida Celeste
Oggetto Magico Instabile (Cranio),,,Teschio del Traditore
Arma Magica (Martello da Guerra),,,Tibia di Jonuun
Arma Magica (Tridente),Neir,,Tridente del Mare Eterno
"Arma Magica Senziente (Falcione, Caotica Malvagia)",,,Yolandi
