name,type
Abile Inganno,Abilità
Appoggiati,Abilità
Approccio Strategico,Abilità
Armatura Fortificata,Abilità
Armatura Infrangibile,Abilità
Assalto,Abilità
Attraverso i Tuoi Occhi,Abilità
Audace,Abilità
Aura Confondente,Abilità
Aura Sovrastante,Abilità
Barriera di Rigenerazione,Abilità
Cacciare,Abilità
Cacciatore d'Ombre,Abilità
Camminatore di Fessura,Abilità
Cammino sulle Pareti,Abilità
Campo di Guarigione,Abilità
Carica di Incantesimo,Abilità
Carisma Infinito,Abilità
Catena di Fulmini,Abilità
Cieli che Cadono,Abilità
Colpire al Suolo,Abilità
Colpito dalla Lama,Abilità
Colpo,Abilità
Colpo Guaritore,Abilità
Colpo Risonante,Abilità
Colpo del Mietitore,Abilità
Colpo di Frantumazione,Abilità
Colpo di Rottura,Abilità
Colpo di Sfioramento,Abilità
Combattente Versatile,Abilità
Concentrazione Letale,Abilità
Condividi il Carico,Abilità
Conosci il tuo nemico,Abilità
ControIncantesimo,Abilità
Controllare,Abilità
Corazza,Abilità
Corsa verso la Morte,Abilità
Custode delle Rune,Abilità
Discorso Rassicurante,Abilità
Distruttore di Corpi,Abilità
Divinazione,Abilità
Dominio Vegetale,Abilità
Eclissi,Abilità
Entusiasmo di Massa,Abilità
Equidi Evocati,Abilità
Esperto di Furtività,Abilità
Esplosione Ammantata,Abilità
Esplosione di Conservazione,Abilità
Estasi,Abilità
Evoca Sciame,Abilità
Famiglio della Natura,Abilità
Famoso,Abilità
Ferocia,Abilità
Forma Materiale,Abilità
Fortezza Selvaggia,Abilità
Forza della Natura,Abilità
Frenesia,Abilità
Furia Crescente,Abilità
Fusto Maestoso,Abilità
Glifo dell'Oscurità,Abilità
Grido di Battaglia,Abilità
Guida con l'Esempio,Abilità
Imitatore,Abilità
Impulso Selvaggio,Abilità
Inevitabile,Abilità
Infrangibile,Abilità
Intoccabile,Abilità
Intrico Violento,Abilità
Invisibilità,Abilità
Ispirazione Critica,Abilità
Legame dell'Ombra,Abilità
Legame di un Soldato,Abilità
Libera il Caos,Abilità
Libro di Ava,Abilità
Libro di Exota,Abilità
Libro di Grynn,Abilità
Libro di Homet,Abilità
Libro di Illiat,Abilità
Libro di Korvax,Abilità
Libro di Norai,Abilità
Libro di Ronin,Abilità
