source,source_type,target,target_type,relationship
Benvenuto,unknown,crea un collegamento,unknown,references
Home,unknown,PNG_A,unknown,references
Home,unknown,PNG_B,unknown,references
Home,unknown,Geografia,unknown,references
Home,unknown,Regole_di_Casa,unknown,references
Home,unknown,Transformations,unknown,references
Canzone di Nebvarasa,lore,Nebvarasa,unknown,references
Meteore,artifact,Dimensione dello Spirito,lore,references
Meteore,artifact,karevi,unknown,references
Meteore,artifact,Ali del Radioso Martirio,artifact,references
Meteore,artifact,Infallibile Cristallo del Fato,artifact,references
Meteore,artifact,Amuleto dell'investigatore,unknown,references
Meteore,artifact,La Senza Peso,artifact,references
Meteore,artifact,Anelli degli Elementi,artifact,references
Meteore,artifact,Kanptazu,artifact,references
Meteore,artifact,Balestre della Vita e della Morte,artifact,references
Meteore,artifact,K'idusi Seyifi Mak'at'eli,artifact,references
Meteore,artifact,Bastone della Misericordia,artifact,references
Meteore,artifact,Lacrime Celesti,artifact,references
Meteore,artifact,Bestia Sacra Eneli,artifact,references
Meteore,artifact,Lama del Sacro Ordine,artifact,references
Meteore,artifact,Binocolo della Preveggenza,artifact,references
Meteore,artifact,Lancia Angelica,artifact,references
Meteore,artifact,Bracciale delle Molte Forme,artifact,references
Meteore,artifact,Lanterna del Becchino,artifact,references
Meteore,artifact,Bracciale dell'Oltredove,artifact,references
Meteore,artifact,Lenti dell'Archivista,artifact,references
Meteore,artifact,Bracciale Sulfureo,artifact,references
Meteore,artifact,Malia dell'Infido Gatto,artifact,references
Meteore,artifact,Chevya' La Bestia,artifact,references
Meteore,artifact,Mano di Krea,artifact,references
Meteore,artifact,Collana del Distruttore,artifact,references
Meteore,artifact,Mantello dei Venti,artifact,references
Meteore,artifact,Collana del Mutaforma,artifact,references
Meteore,artifact,Mantello dell'inconsistenza,unknown,references
Meteore,artifact,Cormaglio,artifact,references
Meteore,artifact,Matna e la Scatola,artifact,references
Meteore,artifact,Cuore Divino,artifact,references
Meteore,artifact,Nindja,artifact,references
Meteore,artifact,Demone X,artifact,references
Meteore,artifact,Occhio del Demone,artifact,references
Meteore,artifact,Domatore di Bestie,artifact,references
Meteore,artifact,Oppressione Demoniaca,artifact,references
Meteore,artifact,Dozhdboli il Nero Flagello,artifact,references
Meteore,artifact,Orecchini della Selva,artifact,references
Meteore,artifact,Dustsceawung,artifact,references
Meteore,artifact,Osservatore Celeste,artifact,references
Meteore,artifact,Egida del Rogo,artifact,references
Meteore,artifact,Psy Bot,artifact,references
Meteore,artifact,Elmo del Fante Demoniaco,artifact,references
Meteore,artifact,Prima Lucis Advehens,artifact,references
Meteore,artifact,Elmo di Gwynplaine,artifact,references
Meteore,artifact,Putto,artifact,references
Meteore,artifact,Fante Demoniaco,artifact,references
Meteore,artifact,Sfida Celeste,artifact,references
Meteore,artifact,Foglia di Iliar,artifact,references
Meteore,artifact,Teschio del Traditore,artifact,references
Meteore,artifact,Frullatore (danneggiato),artifact,references
Meteore,artifact,Tibia di Jonuun,artifact,references
Meteore,artifact,Frusta Fiammeggiante,artifact,references
Meteore,artifact,Tridente del Mare Eterno,artifact,references
Meteore,artifact,Gemma del Mana Perpetuo,artifact,references
Meteore,artifact,Yolandi,artifact,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Larass'hra,location,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Nebvarasa,unknown,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Hadaknaton,unknown,references
Mondo di Neir,lore,wiloi,unknown,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Nebvarasa,unknown,references
Mondo di Neir,lore,Hadaknaton,unknown,references
Mondo di Neir,lore,Nebvarasa,unknown,references
Mondo di Neir,lore,Hadaknaton,unknown,references
Mondo di Neir,lore,Loy'ach,unknown,references
Mondo di Neir,lore,Najestarr,npc,references
Mondo di Neir,lore,Neir,location,references
Mondo di Neir,lore,Rengaria,location,references
Mondo di Neir,lore,Distese Nuvolose di Aej'Nagrizzt,location,references
Mondo di Neir,lore,Tenebris,deity_or_faction,references
Mondo di Neir,lore,Neir,location,references
Adraoos,deity_or_faction,adraoos_simbolo_pic.jpeg,unknown,references
Bakraag,deity_or_faction,_page_15_Picture_16.jpeg,unknown,references
Demien,deity_or_faction,Pasted image 20260710131707.png,unknown,references
Divinità,deity_or_faction,Laon,deity_or_faction,references
Divinità,deity_or_faction,Lanie,deity_or_faction,references
Divinità,deity_or_faction,Garod,deity_or_faction,references
Divinità,deity_or_faction,Neir,location,references
Divinità,deity_or_faction,Rengaria,location,references
Divinità,deity_or_faction,Rengaria,location,references
Divinità,deity_or_faction,Rengaria,location,references
Divinità,deity_or_faction,Rengaria,location,references
Divinità,deity_or_faction,Neir,location,references
Divinità,deity_or_faction,Adraoos,deity_or_faction,references
Divinità,deity_or_faction,Bakraag,deity_or_faction,references
Divinità,deity_or_faction,Demien,deity_or_faction,references
Divinità,deity_or_faction,Doomkhan,deity_or_faction,references
Divinità,deity_or_faction,Fadranstaff,deity_or_faction,references
Divinità,deity_or_faction,Garod,deity_or_faction,references
Divinità,deity_or_faction,Glumdrung,deity_or_faction,references
Divinità,deity_or_faction,Halthea,deity_or_faction,references
Divinità,deity_or_faction,Iliar,deity_or_faction,references
Divinità,deity_or_faction,Krea,deity_or_faction,references
Divinità,deity_or_faction,Lanie,deity_or_faction,references
Divinità,deity_or_faction,Nelen Deseziath,npc,references
