source,source_type,target,target_type,weight
Impero delle Terre Nascoste,location,Karevi,unknown,48
Favoleggiate Rovine di Gundazar,location,Gundazar,location,46
Magocrazia di Nü,location,Wiloi,unknown,41
Valli dei Giganti,location,Forte Arundex,location,28
Repubblica di Mendulia’s Rock,location,Mendulia's Rock,location,25
Elfi di Dor,ancestry,Elfi,unknown,25
Ducato di Öuin,location,Öuin,location,21
Pianure di Xanesh,location,Gundazar,location,18
Dominio delle Trame,location,Namass'rya,npc,14
Magocrazia di Nü,location,Neir,location,14
Elfi di Dor,ancestry,klorss,unknown,13
Impero delle Terre Nascoste,location,Garod,deity_or_faction,12
Mano di Krea,artifact,Krea,deity_or_faction,12
Larass'hra,location,Neir,location,11
Oasi di Zey,location,gnomi,unknown,11
Pianure di Xanesh,location,Tenebris,deity_or_faction,11
Valli dei Giganti,location,Gundazar,location,11
Elfi di Dor,ancestry,Nani,unknown,11
Magocrazia di Nü,location,Yolam'hra,unknown,10
Magocrazia di Nü,location,Najestarr,npc,9
Mondo di Neir,lore,Neir,location,8
Favoleggiate Rovine di Gundazar,location,Wiloi,unknown,8
Pianure di Xanesh,location,Mubunash,location,8
Foglia di Iliar,artifact,Iliar,deity_or_faction,8
Oasi di Zey,location,Gundazar,location,7
Repubblica di Mendulia’s Rock,location,Neir,location,7
Mano di Krea,artifact,Maskarr,deity_or_faction,7
Favoleggiate Rovine di Gundazar,location,Giganti,unknown,6
Impero delle Terre Nascoste,location,Neir,location,6
Magocrazia di Nü,location,Lanie,deity_or_faction,6
Oasi di Zey,location,Pianure di Xanesh,location,6
Valli dei Giganti,location,Giganti,unknown,6
Elfi di Dor,ancestry,Dor,unknown,6
Elfi di Dor,ancestry,Città Torre di Meth,unknown,6
Elfi di Dor,ancestry,Elunas,unknown,6
Elfi di Dor,ancestry,Nore Aad,unknown,6
Axrul II De Vaars,npc,Gundazar,location,6
Efneriom,npc,Gundazar,location,6
Ducato di Öuin,location,Laon,deity_or_faction,5
Impero delle Terre Nascoste,location,klorss,unknown,5
Larass'hra,location,Leresalazsnn'hra,unknown,5
Magocrazia di Nü,location,loy'ach,unknown,5
Magocrazia di Nü,location,Città di Nü,location,5
Magocrazia di Nü,location,Azkabel,location,5
Magocrazia di Nü,location,Daragoss,location,5
Pianure di Xanesh,location,Neir,location,5
Elfi di Dor,ancestry,umani,unknown,5
Elfi di Dor,ancestry,Lanie,deity_or_faction,5
Elfi di Dor,ancestry,Fjord,unknown,5
Elfi di Dor,ancestry,Adzanaklorss,unknown,5
Vampiro,enemy,Hjilaki,unknown,5
Dustsceawung,artifact,Rionnag'hra,unknown,5
Malia dell'Infido Gatto,artifact,Maskarr,deity_or_faction,5
Nindja,artifact,Yolandi,artifact,5
Azkabel,location,Wiloi,unknown,5
Horus,npc,Urakian,unknown,5
Divinità,deity_or_faction,Rengaria,location,4
Cenere di Lanie,location,Urakian,ancestry,4
Ducato di Öuin,location,Neir,location,4
Favoleggiate Rovine di Gundazar,location,Mendulia's Rock,location,4
Larass'hra,location,Mazak'hra,unknown,4
Larass'hra,location,Wiloi,unknown,4
Repubblica di Mendulia’s Rock,location,Gundazar,location,4
Elfi di Dor,ancestry,Neir,location,4
Elfi di Dor,ancestry,Valle Nuvolosa,location,4
Elfi di Dor,ancestry,Meth,unknown,4
Selva Infestata di Mysteria,location,klorss,unknown,4
Reggia dei Piaceri,location,Namass'rya,npc,4
Ritrovo dei Dannati,location,Prescelti dalle Tenebre,unknown,4
Mare Andante,community,Mendulia's Rock,location,4
SottoClassi,subclass,Ranger,class,4
Carica di Incantesimo,ability,token,unknown,4
Axrul II De Vaars,npc,Desea,npc,4
Doerun Eldobeth,npc,Selva Infestata di Mysteria,location,4
Mondo di Neir,lore,Nebvarasa,unknown,3
Mondo di Neir,lore,Hadaknaton,unknown,3
Lanie,deity_or_faction,Nelen Deseziath,npc,3
Favoleggiate Rovine di Gundazar,location,Valli dei Giganti,location,3
Favoleggiate Rovine di Gundazar,location,Neir,location,3
Impero delle Terre Nascoste,location,Gundazar,location,3
Impero delle Terre Nascoste,location,Provincia di Petralta,location,3
Larass'hra,location,Elfi,unknown,3
Larass'hra,location,Vetta delle Anime,location,3
Magocrazia di Nü,location,Gundazar,location,3
Oasi di Zey,location,Neir,location,3
Repubblica di Mendulia’s Rock,location,Magocrazia di Nü,location,3
Repubblica di Mendulia’s Rock,location,Baia di Redoro,location,3
Valli dei Giganti,location,Neir,location,3
Valli dei Giganti,location,Mendulia's Rock,location,3
Elfi di Dor,ancestry,Elfi,ancestry,3
Elfi di Dor,ancestry,Gundazar,location,3
Elfi di Dor,ancestry,Magocrazia di Nü,location,3
Hjilaki,ancestry,vampiri,unknown,3
Egida del Rogo,artifact,Bakraag,deity_or_faction,3
Elmo di Gwynplaine,artifact,Demien,deity_or_faction,3
Mano di Krea,artifact,Neir,location,3
Yolandi,artifact,Nindja,artifact,3
Azkabel,location,Elfi,unknown,3
Milford,location,halfling,unknown,3
Sala dei Gran Maestri,location,Öuin,location,3
Gloriosa Ezakran,location,Karevi,unknown,3
Baia di Redoro,location,Neir,location,3
Quartiere Mendus,location,Impero delle Terre Nascoste,location,3
Mare Andante,community,Neir,location,3
Teriantropia,house_rule,Neir,location,3
SottoClassi,subclass,Chierico,unknown,3
Approccio Strategico,ability,token,unknown,3
Santuario della Selva,ability,Saggio,domain,3
Annie Rose-Robe,npc,halfling,unknown,3
Nelen Deseziath,npc,Neir,location,3
Rakilia,npc,Urakian,unknown,3
Ziria,npc,An'Rao IV,npc,3
Ziria,npc,Garod,deity_or_faction,3
Divinità,deity_or_faction,Laon,deity_or_faction,2
Divinità,deity_or_faction,Lanie,deity_or_faction,2
Divinità,deity_or_faction,Garod,deity_or_faction,2
Divinità,deity_or_faction,Neir,location,2
Cenere di Lanie,location,Urakian,unknown,2
Ducato di Öuin,location,Lewyn,npc,2
Favoleggiate Rovine di Gundazar,location,Orchi,unknown,2
Favoleggiate Rovine di Gundazar,location,Tenebris,deity_or_faction,2
Impero delle Terre Nascoste,location,Wiloi,unknown,2
Impero delle Terre Nascoste,location,Petralta,location,2
Larass'hra,location,Nebvarasa,unknown,2
Larass'hra,location,Nani,unknown,2
Larass'hra,location,umani,unknown,2
Larass'hra,location,Daragoss,location,2
Larass'hra,location,Regione Mistica,location,2
Larass'hra,location,Cimitero dei Draghi,location,2
Larass'hra,location,Terra di Ambra,location,2
Magocrazia di Nü,location,Abisso Oscuro,location,2
Oasi di Zey,location,Karevi,unknown,2
Oasi di Zey,location,Tenebris,deity_or_faction,2
Oasi di Zey,location,Urakian,unknown,2
Pianure di Xanesh,location,Adraoos,deity_or_faction,2
Pianure di Xanesh,location,Magocrazia di Nü,location,2
Pianure di Xanesh,location,Città delle Palafitte,unknown,2
Repubblica di Mendulia’s Rock,location,Impero delle Terre Nascoste,location,2
Repubblica di Mendulia’s Rock,location,Dardi Sanguinanti,unknown,2
Repubblica di Mendulia’s Rock,location,Forte Arundex,location,2
Valli dei Giganti,location,Unthamarand,deity_or_faction,2
Verde Foresta,location,Cenere di Lanie,location,2
Verde Foresta,location,Valle Nuvolosa,location,2
Verde Foresta,location,Aman'Raith,location,2
Verde Foresta,location,Neir,location,2
Verde Foresta,location,Gundazar,location,2
Elfi di Dor,ancestry,Wiloi,unknown,2
Elfi di Dor,ancestry,Landa di Edeber,location,2
Elfi di Dor,ancestry,Hultuaar,unknown,2
Elfi di Dor,ancestry,Oruth,unknown,2
Elfi di Dor,ancestry,Nuiwlf,unknown,2
Elfi di Dor,ancestry,Xodrodoth,unknown,2
Elfi di Dor,ancestry,elfi di Dor,unknown,2
Hjilaki,ancestry,Karevi,unknown,2
Hjilaki,ancestry,01_Lore/Razze_e_Popoli/Vampiro,unknown,2
Vera Magia,lore,Nebvarasa,unknown,2
Vera Magia,lore,Dimensione della Materia,lore,2
Ali del Radioso Martirio,artifact,Fadranstaff,deity_or_faction,2
Collana del Distruttore,artifact,Nuzagaal,deity_or_faction,2
Dozhdboli il Nero Flagello,artifact,Garod,deity_or_faction,2
Elmo di Gwynplaine,artifact,Neir,location,2
Gemma del Mana Perpetuo,artifact,klorss,unknown,2
Gemma del Mana Perpetuo,artifact,Elfi,unknown,2
K'idusi Seyifi Mak'at'eli,artifact,Laon,deity_or_faction,2
Kanptazu,artifact,Laon,deity_or_faction,2
Kanptazu,artifact,Demien,deity_or_faction,2
La Senza Peso,artifact,Laon,deity_or_faction,2
Lacrime Celesti,artifact,Neir,location,2
Lama del Sacro Ordine,artifact,Halthea,deity_or_faction,2
Mano di Krea,artifact,Rengaria,location,2
Mano di Krea,artifact,Dimensione della Materia,lore,2
Mercanti di Meteore,artifact,Neir,location,2
Occhio del Demone,artifact,Cacciatore di Meteore,community,2
Occhio del Demone,artifact,Neir,location,2
Prima Lucis Advehens,artifact,Laon,deity_or_faction,2
Prima Lucis Advehens,artifact,Ghaeler,unknown,2
Putto,artifact,Rengaria,location,2
Sfida Celeste,artifact,Garod,deity_or_faction,2
Sfida Celeste,artifact,Neir,location,2
Tibia di Jonuun,artifact,Nuzagaal,deity_or_faction,2
Tibia di Jonuun,artifact,Guerra Celeste,lore,2
Tibia di Jonuun,artifact,Neir,location,2
Tibia di Jonuun,artifact,Jonuun,unknown,2
Landa di Edeber,location,Neir,location,2
Gundazar,location,Aman'Raith,location,2
Bosco di Alysara,location,Elfi,ancestry,2
Regione Mistica,location,Vetta delle Anime,location,2
Vetta delle Anime,location,Nebvarasa,unknown,2
Azkabel,location,Neir,location,2
Mercato degli Schiavi,location,Karevi,unknown,2
Reggia dei Piaceri,location,Agan,npc,2
Molo,location,Öuin,location,2
Aman'Raith,location,Gundazar,location,2
Hzaad'à,location,Karevi,unknown,2
Ynxazvann,location,Giungla di Erth,location,2
Manor,location,Karevi,unknown,2
Manor,location,Urakian,unknown,2
Giardinetti Lungofiume,location,Gloriosa Ezakran,location,2
Quartiere Hjilaki,location,Gloriosa Ezakran,location,2
I Bianchi Sepolcri,location,Petralta,location,2
Porticato del Governatore,location,Petralta,location,2
Banco del Mare,location,Neir,location,2
Banco del Mare,location,Mendulia's Rock,location,2
Grande Porto,location,Magocrazia di Nü,location,2
Monteforte,location,Mubunash,location,2
Oscura Chiesa di Tenebris,location,Tenebris,deity_or_faction,2
Torre Baronale,location,Tenebris,deity_or_faction,2
Archivista,community,Neir,location,2
Background,community,Neir,location,2
Background,community,Cacciatore di Meteore,community,2
Background,community,Mare Andante,community,2
Domini delle Classi,domain,Codice,domain,2
Domini delle Classi,domain,Grazia,domain,2
Domini delle Classi,domain,Arcana,domain,2
Domini delle Classi,domain,Saggio,domain,2
Domini delle Classi,domain,Lama,domain,2
Domini delle Classi,domain,Valore,domain,2
Domini delle Classi,domain,Ossa,domain,2
Domini delle Classi,domain,Mezzanotte,unknown,2
Domini delle Classi,domain,Splendore,domain,2
Ispirazione Divina,house_rule,Lurtan,deity_or_faction,2
Ispirazione Divina,house_rule,Nuzagaal,deity_or_faction,2
