controlling_faction,controlling_npc,controlling_people,location_type,name,parent_location,region
,,urakian,region,Cenere di Lanie,,Cenere di Lanie
Matrona di Sangue,,hjilaki,kingdom,Dominio delle Trame,,Neir
Ducato di Öuin,,öued,kingdom,Ducato di Öuin,,Neir
,Desea,,city,Favoleggiate Rovine di Gundazar,,Neir
Impero delle Terre Nascoste,,karevi,empire,Impero delle Terre Nascoste,,Terre Nascoste
Leresalazsnn'hra,,draghi,continent,Larass'hra,,Larass'hra
,,,unknown,Magocrazia di Nü,,
,,,unknown,Neir,,
Concilio delle Gilde,,gnomi,city,Oasi di Zey,,Cenere di Lanie
,,xaan,region,Pianure di Xanesh,Neir,Xanesh
,,,unknown,Rengaria,,
Repubblica di Mendulia’s Rock,,mendus,city,Repubblica di Mendulia’s Rock,,Neir
Principato di Valle Nuvolosa,,nani,kingdom,Valle Nuvolosa,Neir,Valle Nuvolosa
Forte Arundex,,,province,Valli dei Giganti,,Valli dei Giganti
,,popolo fatato,forest,Verde Foresta,,Neir
,,urakian,landmark,Cratere di Lava,,Cenere di Lanie
tribù di urakian-falco,,urakian,landmark,Distese Nuvolose di Aej'Nagrizzt,Cratere di Lava,
,,urakian,landmark,Placido Specchio di Ghyd,,
,,,city,Città delle Trame,Città delle Trame,
Custodi dei Segreti,,elfi,forest,Landa di Edeber,Öuin,Neir
,,umani,city,Öuin,,
,,,city,Gundazar,,
,,karevi,region,Kkyrlamny,,Neir
,,,unknown,Provincia di Petralta,,
,,umani,city,Mendulia's Rock,Metropoli,
,Onor,draghi,landmark,Baia d'Argento di Onor,,
,Alysara,,unknown,Bosco di Alysara,,
,Llira,draghi rossi,forest,Bosco di Llira,,
,Melis,draghi verdi,forest,Bosco di Melis,Tre Sorelle Lussureggianti,
,,dragoni,landmark,Cimitero dei Draghi,,Larass'hra
,,draghi di rame,region,Desolazione Occidentale,Neir,
,,draghi blu,landmark,Golfo della Zanna Blu,,
,,draghi neri,island,Isole Gemelle,,Desolazione Occidentale
,Udz,draghi rossi,lake,Lago di Udz,,
,,draghi rossi,unknown,Mare della Progenie dell'Esiliato,,
Leresalazsnn'hra,,draghi,mountain,Montagna dell'Occhio del Drago,,Cenere di Lanie
,,draghi bianchi,mountain,Picchi del Wyrm,,
,,draghi d'ottone,volcano,Progenie del Vulcano,,
,Mikrayl il Venerabile,draghi d'oro,mountain,Regione Mistica,,
Leresalazsnn'hra,,draghi,landmark,Terra di Ambra,,
,Mikrayl,,landmark,Vetta delle Anime,,
,,"['mezzelfi', 'elfi', 'wiloi']",city,Azkabel,,Neir
Magocrazia di Nü,,,city,Città di Nü,,
,,wiloi,city,Daragoss,,Neir
,,,landmark,Giardino degli Dei,Zey,
,Deren,,building,La Taverna Sommersa,Lago Zey,
,,urakian,city,Le Mura Invalicabili,Oasi,
,,draghi d'ottone,landmark,Piramide del Dio Dimenticato,,
Corporazione degli Archivisti,,zeyd,institution,Scuola degli Specchi,,Neir
,,halfling,village,Milford,Pianure di Xanesh,
,,,city,Mubunash,,Neir
milizia cittadina,,umani,city,Forte Arundex,,Neir
,,nani,unknown,Campo Geyser,,Valle Nuvolosa
,,nani,city,Ludreq,principato,
,,nani,village,Pahr,,
,Hhnh,klorss,forest,Selva Infestata di Mysteria,,
,,,landmark,Cancello,Città delle Trame,
,,,landmark,Mercato degli Schiavi,,
,,,landmark,Obelisco dei Vinti,Città delle Trame,
,,hjilaki,landmark,Piscine,,
,Namass'rya,hjilaki,building,Reggia dei Piaceri,Città delle Trame,Neir
,Morgan,vampiri,fortress,Segrete,Dominio delle Trame,
Custodi dei Segreti,,,landmark,Radura delle Pietre Grigie,,
,Korg Lance,nani,building,Locanda degli Eroi,Öuin,
Ducato,,,city,Molo,Öuin,
,Gwenwyn II,,building,Palazzo Ducale,Piazza della Giostra,
,,,landmark,Piazza della Giostra,,
,,,landmark,Ponte Curvo,Öuin,
sacerdoti di Laon,,,landmark,Riposo dei Cavalieri,Öuin,
,Duchessa Lewyn,,building,Sala dei Gran Maestri,Öuin,
Ospedalieri,,,temple,Tempio del Cuore e della Mente,,
,,elfi selvaggi,nation,Aman'Raith,,Valle Nuvolosa
,Desea,,building,Il Palazzo Imperiale,Gundazar,Neir
,Efneriom,,fortress,La Torre delle Anime,,
,,,landmark,Fiume Dern,Kkyrlamny,
,,,forest,Giungla di Erth,,
,,karevi,city,Gloriosa Ezakran,Impero delle Terre Nascoste,
Chiesa di Garod,,karevi,landmark,Hzaad'à,,
,,karevi,landmark,Lago Vurur,Giungla di Erth,Neir
lobby mineraria,,,unknown,Miniere delle Otto Famiglie,,
,,karevi,village,Ynxazvann,,
,,,landmark,Abisso Oscuro,,Neir
Compagnia del Gonfalone Azzurro,,,landmark,Baia di Redoro,,Neir
,,,landmark,Fato di Lyonel,,Neir
Impero delle Terre Nascoste,,karevi,fortress,Manor,Neir,Cenere di Lanie
,,,city,Petralta,Gloriosa Ezakran,
,,karevi,landmark,Giardinetti Lungofiume,Gloriosa Ezakran,
Prescelti dalle Tenebre,,,building,Palazzo-sfera dell'Imperatore,,
,Madama Ghelia F'rezaele,hjilaki,city,Quartiere Hjilaki,Gloriosa Ezakran,
Gonfalone Azzurro,,mendus,city,Quartiere Mendus,Gloriosa Ezakran,
,,zeyd,city,Quartiere Zeyd,quartiere Zeyd,
Prescelti dalle Tenebre,Hokrune,,fortress,Ritrovo dei Dannati,Gloriosa Ezakran,
Prescelti delle Tenebre,,,temple,Tempio della Luce Nera,,Neir
,Flurr,gnomo,building,Fiera Avveniristica di Flurr lo Gnomo,Petralta,
,,,landmark,I Bianchi Sepolcri,Petralta,
,Lucernus,,fortress,Mura di Aeros II,,
Ospedalieri,,,building,Ospedale del Silenzio,Petralta,
,Korib,,building,Ostello dei Morti Contenti,Petralta,
,,umani,building,Porticato del Governatore,Petralta,
Accademia,Lezryus,,building,Accademia delle Sette Arti,Mendulia's Rock,
,,,building,Banco del Mare,Mendulia's Rock,Neir
Compagnia del Gonfalone Azzurro,,,fortress,Base della Marina,,
Dardi Sanguinanti,,,unknown,Bassifondi,,
Corporazione delle Arti,,mendus,building,Corporazione delle Arti,,
Dardi Sanguinanti,,,landmark,Ippodromo,Mendulia's Rock,Neir
,,,city,Molo degli Stendardi,Mendulia's Rock,
,Ryan Berries,,building,Rifugio dei Marinai,Molo degli Stendardi,
,,,landmark,Rupe di Mendulia,,
,Wonderrod,,building,Scuola delle Parole che Uccidono,Mendulia's Rock,
,Zender,orchi,building,Tana delle Sguattere,,
Musici dell'Imperatore,Kylia,Dor,building,Teatro dei Sogni,,
Ospedalieri,,,temple,Tempio della Guarigione,Mendulia's Rock,
,,,building,Biblioteca di Azkabel,,
,,elfi,building,Casa dei Musici e delle Belle Arti,,
,Eriladan il Gentile,,building,Osteria dell'Onda Infranta,Azkabel,
,,,institution,Accademia Magica di Nü,,Neir
,Rejek,,building,Locanda della Pergamena Annacquata,Accademia Magica di Nü,
,,,building,Locanda delle Spade Incantate,,
,Marlus,,building,Torre dei Segreti,,
,,,fortress,Caserma delle Mille Lance,Magocrazia,
Magocrazia di Nü,,,city,Grande Porto,Daragoss,
Università delle Scienze,,darossiani,building,Museo Naturale,Daragoss,
,,,institution,Università delle Scienze,,
,,,landmark,Via delle Botteghe,Daragoss,
,Annie Rose-Robe,,building,Fortino del Conte,,
,,,building,Locanda dell'Eterno Riposo,Milford,Neir
Archivisti,,,building,Corporazione degli Archivisti,,Neir
,,,building,Locanda del Cappuccio Nero,Città delle Trame,
,,,fortress,Monteforte,Baronato,
Oscura Chiesa di Tenebris,,,temple,Oscura Chiesa di Tenebris,Città,
Ospedalieri,,,building,Tempietto degli Ospedalieri,Mubunash,
,,,building,Terme Imperiali,Mubunash,
Oscura Chiesa di Tenebris,Tenebris,,fortress,Torre Baronale,,
,,,unknown,Via degli Imperatori,,
Dardi Sanguinanti,,karevi,building,Antro dei Lupi d'Inverno,Forte Arundex,Neir
,,,building,Arena delle Belve,,
,Governatore,,fortress,Bastione Grigio,Forte Arundex,
Guarnigione del Simbolo Guerriero,Viqnator,,fortress,Guarnigione del Simbolo Guerriero,,
,,,landmark,Lago delle Quattro Braccia,,
comunità di monaci,Amkna,,temple,Tempio degli Antenati,Forte Arundex,
Guardia del Principe,principe,,fortress,Bastione del Principe,,Valle Nuvolosa
Guardiani della Valle,,,building,Birreria dei Thunder,Principato,
,,nani,building,Collegio,,
,,nani,building,Fonderia del Principe,,
,,,landmark,Fondo di Guldann,,Neir
Principato,,,fortress,Fortezza degli Scudi,Fondo di Guldann,
,,nani,temple,Santuario di Fadranstaff,Ludreq,
