name,aliases,faction,location,status
Agan,Duca;cavaliere caduto,Ordine dei Predestinati,,undead
An'Rao IV,An'Rao;An'Rao IV,Impero delle Terre Nascoste,,alive
Annie Rose-Robe,Contessa;Annie Rose-Robe,,Milford,alive
Axrul II De Vaars,Énuas;Terek,,Forte Arundex,alive
Bruin Ashcroft,di ferro,Compagnia del Gonfalone Azzurro,,alive
Buhragath,,Clan di Foromnor,Valli dei Giganti,alive
Daahronat,sciamano della sua tribù;fiero capo della sua tribù,,territorio lucertoloide,alive
Desea,,,palazzo imperiale,undead
Doerun Eldobeth,,Clan Eldobeth,Selva Infestata di Mysteria,alive
Efneriom,Gran Sacerdote;santo;messia,,Gundazar,undead
Fahrn,,Custodi dei Segreti,Aman'Raith,alive
Hedd,"Hedd il Folle;Hedd, il Folle Mascherato;Hedroes",,Mendulia's Rock,alive
Horus,Signore dei Falchi,tribù di urakian-falchi,Aej'Nagrizzt,alive
Hulbert,Barone;legittimo erede della Baronia di Mubunash,,Mubunash,alive
Korath,Korath della Gemma;sommo tra i guerrieri;potente tra gli orchi;possente orco;potente Korath,,Verde Foresta,alive
Lewyn,duchessa,Ordine di Elfstan,,alive
M'oraoork,Gran Sacerdote;la cosa,Chiesa di Garod,Gloriosa Ezakran,undead
Najestarr,Tiranno;arcimago,,,unknown
Namass'rya,Matrona di Sangue,Armata dell'Apocalisse,,undead
Nelen Deseziath,,,Neir,alive
Orgnornor,Governatore di Forte Arundex,,Forte Arundex,alive
Rakilia,,karevi,Città delle Trame,alive
Renetzia,,Prescelti dalle Tenebre,,alive
Rihko,,,Verde Foresta,alive
Rowzrugu,Buhragath;terrore delle Valli,,Valli,alive
Sagister,,Oasi di Zey,,alive
Ziria,Shagas-kin,,Neir,alive
