name,path,type
Benvenuto.md,Benvenuto.md,unknown
Home.md,00_Dashboard\Home.md,unknown
Canzone di Nebvarasa.md,01_Lore\Cosmologia\Canzone di Nebvarasa.md,lore
Dimensione della Materia.md,01_Lore\Cosmologia\Dimensione della Materia.md,lore
Dimensione dello Spirito.md,01_Lore\Cosmologia\Dimensione dello Spirito.md,lore
Guerra Celeste.md,01_Lore\Cosmologia\Guerra Celeste.md,lore
Meteore.md,01_Lore\Cosmologia\Meteore.md,artifact
Mondo di Neir.md,01_Lore\Cosmologia\Mondo di Neir.md,lore
Notte Eterna.md,01_Lore\Cosmologia\Notte Eterna.md,lore
Adraoos.md,01_Lore\Divinità_e_Fazioni\Adraoos.md,deity_or_faction
Bakraag.md,01_Lore\Divinità_e_Fazioni\Bakraag.md,deity_or_faction
Demien.md,01_Lore\Divinità_e_Fazioni\Demien.md,deity_or_faction
Divinità.md,01_Lore\Divinità_e_Fazioni\Divinità.md,deity_or_faction
Doomkhan.md,01_Lore\Divinità_e_Fazioni\Doomkhan.md,deity_or_faction
Fadranstaff.md,01_Lore\Divinità_e_Fazioni\Fadranstaff.md,deity_or_faction
Garod.md,01_Lore\Divinità_e_Fazioni\Garod.md,deity_or_faction
Glumdrung.md,01_Lore\Divinità_e_Fazioni\Glumdrung.md,deity_or_faction
Halthea.md,01_Lore\Divinità_e_Fazioni\Halthea.md,deity_or_faction
Iliar.md,01_Lore\Divinità_e_Fazioni\Iliar.md,deity_or_faction
Krea.md,01_Lore\Divinità_e_Fazioni\Krea.md,deity_or_faction
Lanie.md,01_Lore\Divinità_e_Fazioni\Lanie.md,deity_or_faction
Laon.md,01_Lore\Divinità_e_Fazioni\Laon.md,deity_or_faction
Lurtan.md,01_Lore\Divinità_e_Fazioni\Lurtan.md,deity_or_faction
Maskarr.md,01_Lore\Divinità_e_Fazioni\Maskarr.md,deity_or_faction
Nuzagaal.md,01_Lore\Divinità_e_Fazioni\Nuzagaal.md,deity_or_faction
Tenebris.md,01_Lore\Divinità_e_Fazioni\Tenebris.md,deity_or_faction
Unthamarand.md,01_Lore\Divinità_e_Fazioni\Unthamarand.md,deity_or_faction
Cenere di Lanie.md,01_Lore\Geografia\Cenere di Lanie.md,location
Dominio delle Trame.md,01_Lore\Geografia\Dominio delle Trame.md,location
Ducato di Öuin.md,01_Lore\Geografia\Ducato di Öuin.md,location
Favoleggiate Rovine di Gundazar.md,01_Lore\Geografia\Favoleggiate Rovine di Gundazar.md,location
Impero delle Terre Nascoste.md,01_Lore\Geografia\Impero delle Terre Nascoste.md,location
Larass'hra.md,01_Lore\Geografia\Larass'hra.md,location
Magocrazia di Nü.md,01_Lore\Geografia\Magocrazia di Nü.md,location
Neir.md,01_Lore\Geografia\Neir.md,location
Oasi di Zey.md,01_Lore\Geografia\Oasi di Zey.md,location
Pianure di Xanesh.md,01_Lore\Geografia\Pianure di Xanesh.md,location
Rengaria.md,01_Lore\Geografia\Rengaria.md,location
Repubblica di Mendulia’s Rock.md,01_Lore\Geografia\Repubblica di Mendulia’s Rock.md,location
Valle Nuvolosa.md,01_Lore\Geografia\Valle Nuvolosa.md,location
Valli dei Giganti.md,01_Lore\Geografia\Valli dei Giganti.md,location
Verde Foresta.md,01_Lore\Geografia\Verde Foresta.md,location
Elfi di Dor.md,01_Lore\Razze_e_Popoli\Elfi di Dor.md,ancestry
Hjilaki.md,01_Lore\Razze_e_Popoli\Hjilaki.md,ancestry
Vampiro.md,01_Lore\Razze_e_Popoli\Vampiro.md,ancestry
Vera Magia.md,01_Lore\Vera Magia\Vera Magia.md,lore
Ali del Radioso Martirio.md,01_Lore\Cosmologia\Meteore\Ali del Radioso Martirio.md,artifact
Amuleto dell'Investigatore.md,01_Lore\Cosmologia\Meteore\Amuleto dell'Investigatore.md,artifact
Anelli degli Elementi.md,01_Lore\Cosmologia\Meteore\Anelli degli Elementi.md,artifact
Balestre della Vita e della Morte.md,01_Lore\Cosmologia\Meteore\Balestre della Vita e della Morte.md,artifact
Bastone della Misericordia.md,01_Lore\Cosmologia\Meteore\Bastone della Misericordia.md,artifact
Bestia Sacra Eneli.md,01_Lore\Cosmologia\Meteore\Bestia Sacra Eneli.md,artifact
Binocolo della Preveggenza.md,01_Lore\Cosmologia\Meteore\Binocolo della Preveggenza.md,artifact
Bracciale dell'Oltredove.md,01_Lore\Cosmologia\Meteore\Bracciale dell'Oltredove.md,artifact
Bracciale delle Molte Forme.md,01_Lore\Cosmologia\Meteore\Bracciale delle Molte Forme.md,artifact
Bracciale Sulfureo.md,01_Lore\Cosmologia\Meteore\Bracciale Sulfureo.md,artifact
Chevya' La Bestia.md,01_Lore\Cosmologia\Meteore\Chevya' La Bestia.md,artifact
Collana del Distruttore.md,01_Lore\Cosmologia\Meteore\Collana del Distruttore.md,artifact
Collana del Mutaforma.md,01_Lore\Cosmologia\Meteore\Collana del Mutaforma.md,artifact
Cormaglio.md,01_Lore\Cosmologia\Meteore\Cormaglio.md,artifact
Cuore Divino.md,01_Lore\Cosmologia\Meteore\Cuore Divino.md,artifact
Demone X.md,01_Lore\Cosmologia\Meteore\Demone X.md,artifact
Domatore di Bestie.md,01_Lore\Cosmologia\Meteore\Domatore di Bestie.md,artifact
Dozhdboli il Nero Flagello.md,01_Lore\Cosmologia\Meteore\Dozhdboli il Nero Flagello.md,artifact
Dustsceawung.md,01_Lore\Cosmologia\Meteore\Dustsceawung.md,artifact
Egida del Rogo.md,01_Lore\Cosmologia\Meteore\Egida del Rogo.md,artifact
Elmo del Fante Demoniaco.md,01_Lore\Cosmologia\Meteore\Elmo del Fante Demoniaco.md,artifact
Elmo di Gwynplaine.md,01_Lore\Cosmologia\Meteore\Elmo di Gwynplaine.md,artifact
Fante Demoniaco.md,01_Lore\Cosmologia\Meteore\Fante Demoniaco.md,artifact
Foglia di Iliar.md,01_Lore\Cosmologia\Meteore\Foglia di Iliar.md,artifact
Frullatore (danneggiato).md,01_Lore\Cosmologia\Meteore\Frullatore (danneggiato).md,artifact
Frusta Fiammeggiante.md,01_Lore\Cosmologia\Meteore\Frusta Fiammeggiante.md,artifact
Gemma del Mana Perpetuo.md,01_Lore\Cosmologia\Meteore\Gemma del Mana Perpetuo.md,artifact
Infallibile Cristallo del Fato.md,01_Lore\Cosmologia\Meteore\Infallibile Cristallo del Fato.md,artifact
K'idusi Seyifi Mak'at'eli.md,01_Lore\Cosmologia\Meteore\K'idusi Seyifi Mak'at'eli.md,artifact
Kanptazu.md,01_Lore\Cosmologia\Meteore\Kanptazu.md,artifact
La Senza Peso.md,01_Lore\Cosmologia\Meteore\La Senza Peso.md,artifact
Lacrime Celesti.md,01_Lore\Cosmologia\Meteore\Lacrime Celesti.md,artifact
Lama del Sacro Ordine.md,01_Lore\Cosmologia\Meteore\Lama del Sacro Ordine.md,artifact
Lancia Angelica.md,01_Lore\Cosmologia\Meteore\Lancia Angelica.md,artifact
Lanterna del Becchino.md,01_Lore\Cosmologia\Meteore\Lanterna del Becchino.md,artifact
Lenti dell'Archivista.md,01_Lore\Cosmologia\Meteore\Lenti dell'Archivista.md,artifact
Malia dell'Infido Gatto.md,01_Lore\Cosmologia\Meteore\Malia dell'Infido Gatto.md,artifact
Mano di Krea.md,01_Lore\Cosmologia\Meteore\Mano di Krea.md,artifact
Mantello dei Venti.md,01_Lore\Cosmologia\Meteore\Mantello dei Venti.md,artifact
Mantello dell'Inconsistenza.md,01_Lore\Cosmologia\Meteore\Mantello dell'Inconsistenza.md,artifact
Matna e la Scatola.md,01_Lore\Cosmologia\Meteore\Matna e la Scatola.md,artifact
Mercanti di Meteore.md,01_Lore\Cosmologia\Meteore\Mercanti di Meteore.md,artifact
Nindja.md,01_Lore\Cosmologia\Meteore\Nindja.md,artifact
Occhio del Demone.md,01_Lore\Cosmologia\Meteore\Occhio del Demone.md,artifact
Oppressione Demoniaca.md,01_Lore\Cosmologia\Meteore\Oppressione Demoniaca.md,artifact
Orecchini della Selva.md,01_Lore\Cosmologia\Meteore\Orecchini della Selva.md,artifact
Osservatore Celeste.md,01_Lore\Cosmologia\Meteore\Osservatore Celeste.md,artifact
Prima Lucis Advehens.md,01_Lore\Cosmologia\Meteore\Prima Lucis Advehens.md,artifact
Psy Bot.md,01_Lore\Cosmologia\Meteore\Psy Bot.md,artifact
