source,target,relationship
Benvenuto,crea un collegamento,wiki_link
Home,PNG_A,wiki_link
Home,PNG_B,wiki_link
Home,Geografia,wiki_link
Home,Regole_di_Casa,wiki_link
Home,Transformations,wiki_link
Canzone di Nebvarasa,Nebvarasa,wiki_link
Meteore,Dimensione dello Spirito,wiki_link
Meteore,karevi,wiki_link
Meteore,Ali del Radioso Martirio,wiki_link
Meteore,Infallibile Cristallo del Fato,wiki_link
Meteore,Amuleto dell'investigatore,wiki_link
Meteore,La Senza Peso,wiki_link
Meteore,Anelli degli Elementi,wiki_link
Meteore,Kanptazu,wiki_link
Meteore,Balestre della Vita e della Morte,wiki_link
Meteore,K'idusi Seyifi Mak'at'eli,wiki_link
Meteore,Bastone della Misericordia,wiki_link
Meteore,Lacrime Celesti,wiki_link
Meteore,Bestia Sacra Eneli,wiki_link
Meteore,Lama del Sacro Ordine,wiki_link
Meteore,Binocolo della Preveggenza,wiki_link
Meteore,Lancia Angelica,wiki_link
Meteore,Bracciale delle Molte Forme,wiki_link
Meteore,Lanterna del Becchino,wiki_link
Meteore,Bracciale dell'Oltredove,wiki_link
Meteore,Lenti dell'Archivista,wiki_link
Meteore,Bracciale Sulfureo,wiki_link
Meteore,Malia dell'Infido Gatto,wiki_link
Meteore,Chevya' La Bestia,wiki_link
Meteore,Mano di Krea,wiki_link
Meteore,Collana del Distruttore,wiki_link
Meteore,Mantello dei Venti,wiki_link
Meteore,Collana del Mutaforma,wiki_link
Meteore,Mantello dell'inconsistenza,wiki_link
Meteore,Cormaglio,wiki_link
Meteore,Matna e la Scatola,wiki_link
Meteore,Cuore Divino,wiki_link
Meteore,Nindja,wiki_link
Meteore,Demone X,wiki_link
Meteore,Occhio del Demone,wiki_link
Meteore,Domatore di Bestie,wiki_link
Meteore,Oppressione Demoniaca,wiki_link
Meteore,Dozhdboli il Nero Flagello,wiki_link
Meteore,Orecchini della Selva,wiki_link
Meteore,Dustsceawung,wiki_link
Meteore,Osservatore Celeste,wiki_link
Meteore,Egida del Rogo,wiki_link
Meteore,Psy Bot,wiki_link
Meteore,Elmo del Fante Demoniaco,wiki_link
Meteore,Prima Lucis Advehens,wiki_link
Meteore,Elmo di Gwynplaine,wiki_link
Meteore,Putto,wiki_link
Meteore,Fante Demoniaco,wiki_link
Meteore,Sfida Celeste,wiki_link
Meteore,Foglia di Iliar,wiki_link
Meteore,Teschio del Traditore,wiki_link
Meteore,Frullatore (danneggiato),wiki_link
Meteore,Tibia di Jonuun,wiki_link
Meteore,Frusta Fiammeggiante,wiki_link
Meteore,Tridente del Mare Eterno,wiki_link
Meteore,Gemma del Mana Perpetuo,wiki_link
Meteore,Yolandi,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Larass'hra,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Nebvarasa,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Hadaknaton,wiki_link
Mondo di Neir,wiloi,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Nebvarasa,wiki_link
Mondo di Neir,Hadaknaton,wiki_link
Mondo di Neir,Nebvarasa,wiki_link
Mondo di Neir,Hadaknaton,wiki_link
Mondo di Neir,Loy'ach,wiki_link
Mondo di Neir,Najestarr,wiki_link
Mondo di Neir,Neir,wiki_link
Mondo di Neir,Rengaria,wiki_link
Mondo di Neir,Distese Nuvolose di Aej'Nagrizzt,wiki_link
Mondo di Neir,Tenebris,wiki_link
Mondo di Neir,Neir,wiki_link
Adraoos,adraoos_simbolo_pic.jpeg,wiki_link
Bakraag,_page_15_Picture_16.jpeg,wiki_link
Demien,Pasted image 20260710131707.png,wiki_link
Divinità,Laon,wiki_link
Divinità,Lanie,wiki_link
Divinità,Garod,wiki_link
Divinità,Neir,wiki_link
Divinità,Rengaria,wiki_link
Divinità,Rengaria,wiki_link
Divinità,Rengaria,wiki_link
Divinità,Rengaria,wiki_link
Divinità,Neir,wiki_link
Divinità,Adraoos,wiki_link
Divinità,Bakraag,wiki_link
Divinità,Demien,wiki_link
Divinità,Doomkhan,wiki_link
Divinità,Fadranstaff,wiki_link
Divinità,Garod,wiki_link
Divinità,Glumdrung,wiki_link
Divinità,Halthea,wiki_link
Divinità,Iliar,wiki_link
Divinità,Krea,wiki_link
Divinità,Lanie,wiki_link
Divinità,Nelen Deseziath,wiki_link
Divinità,Laon,wiki_link
Divinità,Lurtan,wiki_link
Divinità,Maskarr,wiki_link
Divinità,Nuzagaal,wiki_link
Divinità,Tenebris,wiki_link
Divinità,Unthamarand,wiki_link
Doomkhan,Pasted image 20260710131752.png,wiki_link
Fadranstaff,Pasted image 20260710131838.png,wiki_link
Garod,Pasted image 20260710131909.png,wiki_link
Glumdrung,Pasted image 20260710131952.png,wiki_link
Halthea,Pasted image 20260710132254.png,wiki_link
Iliar,Pasted image 20260710132353.png,wiki_link
